17/06/2020 	|Nhập sách 	|14 	|Tắt đèn 	|Ngô Tất Tố 	|Điện Ảnh - Nhạc - Họa 	|221 	|6 	|B1_G1_L6 	|NXB Kim Đồng 	|Nguyễn Văn A 	| 	|
17/06/2020 	|Nhập sách 	|5 	|Tây du ký 	|Ngô Thừ Ân 	|Sách kỹ năng sống 	|526 	|40 	|B1_G1_L2 	|NXB Văn học 	|Nguyễn Văn A 	| 	|
17/06/2020 	|Nhập sách 	|12 	|Nhà nàng ở cạnh nhà tôi 	|Lini thông minh 	|Sách Khoa Học - Kỹ Thuật 	|350 	|2 	|B1_G2_R3 	|NXB Quân đội 	|Nguyễn Văn A 	| 	|
17/06/2020 	|Nhập sách 	|19 	|Chúa tể của những chiếc nhẫn 	|J. R. R. Tolkien 	|Truyện Giả tưởng - Huyền Bí - Phiêu Lưu 	|2152 	|20 	|B1_G1_R4 	|NXB Sân khấu 	|Nguyễn Văn A 	| 	|
17/06/2020 	|Nhập sách 	|5 	|Tây du ký 	|Ngô Thừ Ân 	|Sách kỹ năng sống 	|526 	|15 	|B1_G1_L2 	|NXB Văn học 	|Nguyễn Văn A 	| 	|
17/06/2020 	|Nhập sách 	|6 	|Dế mèn phiêu lưu ký 	|Tô Hoài 	|Sách Bà mẹ - Em bé 	|230 	|12 	|B1_G2_L1 	|NXB Văn học 	|Nguyễn Văn A 	| 	|
17/06/2020 	|Nhập sách 	|10 	|Vợ nhặt 	|Kim Lân 	|Sách văn học 	|120 	|12 	|B1_G1_R5 	|NXB Trẻ 	|Nguyễn Văn A 	| 	|
17/06/2020 	|Nhập sách 	|5 	|Tây du ký 	|Ngô Thừ Ân 	|Sách kỹ năng sống 	|526 	|6 	|B1_G1_L2 	|NXB Văn học 	|Nguyễn Văn A 	| 	|
17/06/2020 	|Nhập sách 	|14 	|Tắt đèn 	|Ngô Tất Tố 	|Điện Ảnh - Nhạc - Họa 	|221 	|12 	|B1_G1_L6 	|NXB Kim Đồng 	|Nguyễn Văn A 	| 	|
17/06/2020 	|Xuất sách 	|10 	|Vợ nhặt 	|Kim Lân 	|Sách văn học 	|120 	|6 	|B1_G1_R5 	|NXB Trẻ 	|Nguyễn Văn A 	| 	|
17/06/2020 	|Xuất sách 	|19 	|Chúa tể của những chiếc nhẫn 	|J. R. R. Tolkien 	|Truyện Giả tưởng - Huyền Bí - Phiêu Lưu 	|2152 	|6 	|B1_G1_R4 	|NXB Sân khấu 	|Nguyễn Văn A 	| 	|
17/06/2020 	|Nhập sách 	|10 	|Vợ nhặt 	|Kim Lân 	|Sách văn học 	|120 	|70 	|B1_G1_R5 	|NXB Trẻ 	|Nguyễn Văn A 	| 	|
17/06/2020 	|Xuất sách 	|10 	|Vợ nhặt 	|Kim Lân 	|Sách văn học 	|120 	|100 	|B1_G1_R5 	|NXB Trẻ 	|Nguyễn Văn A 	| 	|
17/06/2020 	|Xuất sách 	|7 	|Số đỏ 	|Vũ Trọng Phụng 	|Sách Giáo Khoa - Giáo Trình 	|1500 	|100 	|B1_G1_L1 	|NXB Trẻ 	|Nguyễn Văn A 	| 	|
